Question,Answer
How can I pay my fees?,"You can pay your fees online by credit or debit card, by bank transfer, by cheque or by recurring card payment. For more details, please visit https://www.ed.ac.uk/finance/students/how-to-pay"
What if I have a learning profile that allows for additional time and other adjustments?,"If you have a learning profile that allows for additional time and other adjustments, you will be able to access your online exam for longer than the standard duration. The extra time will be added automatically based on your learning profile. For more information, please visit https://www.ed.ac.uk/timetabling-examinations/exams/exams-faq#OnlineExaminations"
How do I find out when my exam is?,"You can find out when your exam is by accessing your personalised timetable on MyEd or on the Timetabling and Examinations website. You should check your timetable regularly for any changes or updates. For more information, please visit https://www.ed.ac.uk/timetabling-examinations/exams/exams-faq#ExaminationTimetables"
Do I have to register to resit?,"No, you do not have to register to resit an exam. If you are eligible for a resit exam, you will be automatically entered for it and you will receive a personalised timetable on MyEd. For more information, please visit https://www.ed.ac.uk/timetabling-examinations/exams/exams-faq#ResitExams"
What are the entry requirements for postgraduate research degrees?,"The University of Edinburgh requires postgraduate research students to hold at least a first or upper second class bachelor’s degree or its international equivalent before they can be admitted to a higher degree. For more information on international degree equivalencies, please visit https://www.ed.ac.uk/studying/international/country/entry-requirements"
How do I apply for a postgraduate research degree?,"To apply for a postgraduate research degree, you need to complete an online application form and upload all the required supporting documents. You also need to identify and contact a potential supervisor before you submit your application. For more information on how to apply, please visit https://www.ed.ac.uk/informatics/postgraduate/apply/how-to-apply"
Did you receive an unexpected invoice confirmation email on 5th December 2022?,"If you have already paid your fees, this was sent in error and we apologise for the confusion. You can check your balance online to confirm: Access the ‘My finance’ channel within MyEd . If your balance is £0.00, no action is needed on your part. If you have an outstanding balance, please make a payment as soon as possible. If you have a credit balance on your account, Finance will arrange for a refund to be sent to the original payer. Please contact EdHelp if your balance is not what you expected it to be on My finance and you need further support or advice."
Why is my online exam longer in duration than an in person exam?,"Your online exam is longer in duration than an in person exam because it takes into account the time needed for downloading and uploading files, reading instructions and checking answers. The extra time does not mean that the exam is more difficult or that you are expected to write more. You should aim to complete the exam within the standard duration and use the extra time only if needed. For more information, please visit https://www.ed.ac.uk/timetabling-examinations/exams/exams-faq#OnlineExaminations"
Do I have to pay student fees when I complete registration?,"No, you do not have to pay student fees when you complete registration. However, you should pay your fees as soon as possible after receiving your invoice. You can also set up a recurring card payment plan to spread your payments over several instalments. For more information, please visit https://www.ed.ac.uk/finance/students/how-to-pay/recurring-card-payment-plan"
How do I receive my Personalised Timetable on my phone?,You can receive
What if I experience technical difficulties in accessing or submitting my online exam?,"If you experience technical difficulties in accessing or submitting your online exam, you should contact your School as soon as possible and explain the situation. You should also take screenshots of any error messages or issues you encounter and keep them as evidence. For more information, please visit https://www.ed.ac.uk/timetabling-examinations/exams/exams-faq#OnlineExaminations"
